Schulform;FSP;BG;Fach;Bezeichnung;KZ_Bereich;Flag;Sortierung;Sortierung2;geaendert
BK;;***;A;Arabisch;0;1;1;0;2006-05-05 14:42:29
GE;;***;A;Arabisch;0;1;1;1;2016-02-22 15:00:32
GY;;***;A;Arabisch;0;1;1;1;2016-02-22 15:51:07
SB;;***;A;Arabisch;0;1;1;0;
SG;;***;A;Arabisch;0;1;1;1;2016-02-22 13:32:21
WB;;***;A;Arabisch;0;1;1;1;2016-02-22 13:09:36
BK;;***;AB;Arbeits- und Betriebswirtschaftslehre;0;1;1;0;
SB;;***;AB;Arbeits- und Betriebswirtschaftslehre;0;1;1;0;
BK;;***;AG;Neigungs- und Projektgruppen;-1;1;1;0;
SB;;***;AG;Neigungs- und Projektgruppen;;1;1;0;
GE;;***;AH;Arbeitslehre - Schwerpunkt Hauswirtschaft;0;1;1;2;2016-06-02 08:27:19
GM;;***;AH;Arbeitslehre - Schwerpunkt Hauswirtschaft;0;1;1;2;2016-06-02 08:28:04
H;;***;AH;Arbeitslehre - Schwerpunkt Hauswirtschaft;0;1;1;1;2016-06-02 08:28:01
PS;;***;AH;Arbeitslehre - Schwerpunkt Hauswirtschaft;0;1;1;2;2016-06-02 08:28:11
R;;H;AH;Arbeitslehre - Schwerpunkt Hauswirtschaft;0;1;1;1;2016-06-02 08:28:33
SK;;***;AH;Arbeitslehre - Schwerpunkt Hauswirtschaft;0;1;1;2;2016-06-02 08:28:15
V;;***;AH;Arbeitslehre - Schwerpunkt Hauswirtschaft;0;1;1;1;2016-06-02 08:28:19
GE;;***;AL;Arbeitslehre;0;1;1;1;2016-06-02 08:25:37
GM;;***;AL;Arbeitslehre;0;1;1;1;2016-06-02 08:25:43
PS;;***;AL;Arbeitslehre;0;1;1;1;2016-06-02 08:25:48
S;;***;AL;Arbeitslehre;0;1;1;1;2016-02-22 14:15:53
SG;;***;AL;Arbeitslehre;0;1;1;2;2016-02-22 13:32:22
SK;;***;AL;Arbeitslehre;0;1;1;1;2016-06-02 08:26:01
G;;***;AM;Unterricht in der Herkunftssprache - Arabisch;;1;1;1;2016-02-22 14:59:16
GE;;***;AM;Unterricht in der Herkunftssprache - Arabisch;;1;1;7;2016-06-02 08:33:05
GM;;***;AM;Unterricht in der Herkunftssprache - Arabisch;0;1;1;7;2016-06-02 08:33:25
GY;;***;AM;Unterricht in der Herkunftssprache - Arabisch;0;1;1;2;2016-02-22 15:51:08
H;;***;AM;Unterricht in der Herkunftssprache - Arabisch;0;1;1;4;2016-02-22 15:56:52
PS;;***;AM;Unterricht in der Herkunftssprache - Arabisch;0;1;1;7;2016-06-02 08:34:08
R;;***;AM;Unterricht in der Herkunftssprache - Arabisch;;1;1;4;2016-02-22 16:07:02
S;;***;AM;Unterricht in der Herkunftssprache - Arabisch;0;1;1;2;2016-02-22 14:16:13
SG;;***;AM;Unterricht in der Herkunftssprache - Arabisch;;1;1;3;2016-02-22 13:32:23
SK;;***;AM;Unterricht in der Herkunftssprache - Arabisch;0;1;1;7;2016-06-02 08:33:45
SR;;***;AM;Unterricht in der Herkunftssprache - Arabisch;;1;1;1;2016-02-22 13:11:56
V;;***;AM;Unterricht in der Herkunftssprache - Arabisch;;1;1;4;2016-02-22 13:10:14
G;;***;AR;Alevitische Religionslehre nach den Grundsätzen des AABF;0;1;1;2;2016-02-22 14:59:18
GE;;***;AR;Alevitische Religionslehre nach den Grundsätzen des AABF;0;1;1;8;2016-06-02 08:33:14
GM;;***;AR;Alevitische Religionslehre nach den Grundsätzen des AABF;0;1;1;8;2018-03-13 08:52:49
GY;;***;AR;Alevitische Religionslehre nach den Grundsätzen des AABF;0;1;1;3;2018-03-13 08:52:50
H;;***;AR;Alevitische Religionslehre nach den Grundsätzen des AABF;0;1;1;5;2016-02-22 15:56:53
PS;;***;AR;Alevitische Religionslehre nach den Grundsätzen des AABF;0;1;1;8;2016-06-02 08:34:11
R;;***;AR;Alevitische Religionslehre nach den Grundsätzen des AABF;0;1;1;5;2016-02-22 16:07:04
S;;***;AR;Alevitische Religionslehre nach den Grundsätzen des AABF;0;1;1;3;2016-02-22 14:16:25
SG;;***;AR;Alevitische Religionslehre nach den Grundsätzen des AABF;0;1;1;4;2016-02-22 13:32:24
SK;;***;AR;Alevitische Religionslehre nach den Grundsätzen des AABF;0;1;1;8;2018-03-13 08:52:48
SR;;***;AR;Alevitische Religionslehre nach den Grundsätzen des AABF;0;1;1;2;2018-03-13 08:53:15
V;;***;AR;Alevitische Religionslehre nach den Grundsätzen des AABF;0;1;1;5;2016-02-22 13:10:16
GE;;***;AT;Arbeitslehre - Schwerpunkt Technik;0;1;1;3;2016-06-02 08:28:57
GM;;***;AT;Arbeitslehre - Schwerpunkt Technik;0;1;1;3;2016-06-02 08:29:00
H;;***;AT;Arbeitslehre - Schwerpunkt Technik;0;1;1;2;2016-06-02 08:29:04
PS;;***;AT;Arbeitslehre - Schwerpunkt Technik;0;1;1;3;2016-06-02 08:29:07
R;;H;AT;Arbeitslehre - Schwerpunkt Technik;0;1;1;2;2016-06-02 08:29:12
SK;;***;AT;Arbeitslehre - Schwerpunkt Technik;0;1;1;3;2016-06-02 08:29:36
V;;***;AT;Arbeitslehre - Schwerpunkt Technik;;1;1;2;2016-06-02 08:29:23
BK;;***;AV;Arbeitsvorbereitung;-1;1;1;0;
SB;;***;AV;Arbeitsvorbereitung;;1;1;0;
GE;;***;AW;Arbeitslehre - Schwerpunkt Wirtschaft;0;1;1;4;2016-06-02 08:29:54
GM;;***;AW;Arbeitslehre - Schwerpunkt Wirtschaft;0;1;1;4;2016-06-02 08:29:57
H;;***;AW;Arbeitslehre - Schwerpunkt Wirtschaft;0;1;1;3;2016-06-02 08:30:00
PS;;***;AW;Arbeitslehre - Schwerpunkt Wirtschaft;0;1;1;4;2016-06-02 08:30:04
R;;H;AW;Arbeitslehre - Schwerpunkt Wirtschaft;0;1;1;3;2016-06-02 08:30:09
SK;;***;AW;Arbeitslehre - Schwerpunkt Wirtschaft;0;1;1;4;2016-06-02 08:30:06
V;;***;AW;Arbeitslehre - Schwerpunkt Wirtschaft;;1;1;3;2016-06-02 08:30:19
GE;;***;AX;Arbeitslehre - Technik/Wirtschaft (nur Wahlpflichtunterricht);0;1;1;5;2016-06-02 08:32:59
GM;;***;AX;Arbeitslehre - Technik/Wirtschaft (nur Wahlpflichtunterricht);0;1;1;5;2016-06-02 08:33:22
PS;;***;AX;Arbeitslehre - Technik/Wirtschaft (nur Wahlpflichtunterricht);0;1;1;5;2016-06-02 08:34:03
SK;;***;AX;Arbeitslehre - Technik/Wirtschaft (nur Wahlpflichtunterricht);0;1;1;5;2016-06-02 08:33:38
GE;;***;AY;Arbeitslehre - Hauswirtschaft/Wirtschaft (nur Wahlpflichtunterricht);0;1;1;6;2016-06-02 08:33:02
GM;;***;AY;Arbeitslehre - Hauswirtschaft/Wirtschaft (nur Wahlpflichtunterricht);0;1;1;6;2016-06-02 08:33:23
PS;;***;AY;Arbeitslehre - Hauswirtschaft/Wirtschaft (nur Wahlpflichtunterricht);0;1;1;6;2016-06-02 08:34:05
SK;;***;AY;Arbeitslehre - Hauswirtschaft/Wirtschaft (nur Wahlpflichtunterricht);0;1;1;6;2016-06-02 08:33:41
BK;;***;BA;Berufs- und Arbeitspädagogik;-1;1;2;0;
SB;;***;BA;Berufs- und Arbeitspädagogik;;1;2;0;
BK;;***;BF;Bürowirtschaft;-1;1;2;0;
SB;;***;BF;Bürowirtschaft;;1;2;0;
BK;;***;BG;Betrieb und Gesellschaft/Politik;;1;2;0;
SB;;***;BG;Betrieb und Gesellschaft/Politik;0;1;2;0;2011-07-07 08:43:37
GE;;***;BH;Herkunftssprache anstelle einer Pflichtfremdsprache - Bosnisch;;1;2;1;2016-02-22 15:01:17
GM;;***;BH;Herkunftssprache anstelle einer Pflichtfremdsprache - Bosnisch;0;1;2;1;2016-02-22 15:46:54
GY;;***;BH;Herkunftssprache anstelle einer Pflichtfremdsprache - Bosnisch;;1;2;1;2016-02-22 15:51:11
H;;R;BH;Herkunftssprache anstelle einer Pflichtfremdsprache - Bosnisch;0;1;2;1;2016-02-22 15:56:54
PS;;***;BH;Herkunftssprache anstelle einer Pflichtfremdsprache - Bosnisch;0;1;2;1;2016-02-22 15:59:42
R;;***;BH;Herkunftssprache anstelle einer Pflichtfremdsprache - Bosnisch;0;1;2;1;2016-02-22 16:07:09
S;;***;BH;Herkunftssprache anstelle einer Pflichtfremdsprache - Bosnisch;;1;2;1;2016-02-22 14:16:40
SG;;***;BH;Herkunftssprache anstelle einer Pflichtfremdsprache - Bosnisch;;1;2;1;2016-02-22 13:32:25
SK;;***;BH;Herkunftssprache anstelle einer Pflichtfremdsprache - Bosnisch;0;1;2;1;2016-02-22 13:15:19
SR;;***;BH;Herkunftssprache anstelle einer Pflichtfremdsprache - Bosnisch;;1;2;1;2016-02-22 13:11:57
BK;;***;BI;Biologie;-1;1;2;0;
GE;;***;BI;Biologie;;1;2;2;2016-02-22 15:01:19
GM;;***;BI;Biologie;0;1;2;2;2016-02-22 15:46:55
GY;;***;BI;Biologie;;1;2;2;2016-02-22 15:51:12
H;;***;BI;Biologie;0;1;2;2;2016-02-22 15:56:56
PS;;***;BI;Biologie;0;1;2;2;2016-02-22 15:59:43
R;;***;BI;Biologie;;1;2;2;2016-02-22 16:07:10
S;;***;BI;Biologie;0;1;2;2;2016-02-22 14:17:10
SB;;***;BI;Biologie;;1;2;0;
SG;;***;BI;Biologie;;1;2;2;2016-02-22 13:32:26
SK;;***;BI;Biologie;0;1;2;2;2016-02-22 13:15:20
SR;;***;BI;Biologie;;1;2;2;2016-02-22 13:11:58
V;;***;BI;Biologie;;1;2;1;2016-02-22 13:10:18
WB;;***;BI;Biologie;0;1;2;1;2016-02-22 13:09:32
BK;;***;BK;Betriebsinformatik;0;1;2;0;2020-06-03 11:39:45
SB;;***;BK;Betriebsinformatik;0;1;2;0;2020-06-03 11:46:04
G;;***;BM;Unterricht in der Herkunftssprache - Bosnisch;;1;2;1;2016-02-22 14:59:19
GE;;***;BM;Unterricht in der Herkunftssprache - Bosnisch;;1;2;3;2016-02-22 15:01:20
GM;;***;BM;Unterricht in der Herkunftssprache - Bosnisch;0;1;2;3;2016-02-22 15:46:59
GY;;***;BM;Unterricht in der Herkunftssprache - Bosnisch;;1;2;3;2016-02-22 15:51:12
H;;***;BM;Unterricht in der Herkunftssprache - Bosnisch;;1;2;3;2016-02-22 15:56:56
PS;;***;BM;Unterricht in der Herkunftssprache - Bosnisch;0;1;2;3;2016-02-22 15:59:43
R;;***;BM;Unterricht in der Herkunftssprache - Bosnisch;;1;2;3;2016-02-22 16:07:11
S;;***;BM;Unterricht in der Herkunftssprache - Bosnisch;;1;2;3;2016-02-22 14:17:22
SG;;***;BM;Unterricht in der Herkunftssprache - Bosnisch;;1;2;3;2016-02-22 13:32:27
SK;;***;BM;Unterricht in der Herkunftssprache - Bosnisch;0;1;2;3;2016-02-22 13:15:21
SR;;***;BM;Unterricht in der Herkunftssprache - Bosnisch;;1;2;3;2016-02-22 13:11:59
V;;***;BM;Unterricht in der Herkunftssprache - Bosnisch;;1;2;2;2016-02-22 13:10:19
S;;***;BN;Braille'sche Punktschrift;0;1;2;4;2016-02-22 14:17:36
BK;;***;BP;Betriebspraxis;-1;1;2;0;
SB;;***;BP;Betriebspraxis;;1;2;0;
BK;;***;BR;Betriebslehre;-1;1;2;0;
SB;;***;BR;Betriebslehre;;1;2;0;
BK;;***;BS;Betriebssoziologie / Arbeitsrecht;-1;1;2;0;
SB;;***;BS;Betriebssoziologie / Arbeitsrecht;;1;2;0;
GE;;***;BV;Berufsvorbereitung;0;1;2;4;2016-02-22 15:01:21
PS;;***;BV;Berufsvorbereitung;0;1;2;4;2016-02-22 15:59:45
BK;;***;BW;Betriebswirtschaftslehre;-1;1;2;0;2018-03-06 13:59:27
SB;;***;BW;Betriebswirtschaftslehre;;1;2;0;
BK;;***;BY;Betriebssysteme / Netzwerke;0;1;2;0;2020-06-03 11:40:11
SB;;***;BY;Betriebssysteme / Netzwerke;0;1;2;0;2020-06-03 11:46:24
BK;;***;C;Chinesisch;0;1;3;0;
SB;;***;C;Chinesisch;0;1;3;0;
WB;;***;C;Chinesisch;0;1;3;1;2016-02-22 13:09:27
GE;;***;C0;Chinesisch, regulärer Beginn in der Einführungsphase;0;1;3;5;2020-08-13 10:26:36
GE;;***;C0;Chinesisch, regulärer Beginn in der Einführungsphase;0;2;3;5;2020-08-13 10:26:32
GM;;***;C0;Chinesisch, regulärer Beginn in der Einführungsphase;0;1;3;5;2017-02-07 10:36:45
GM;;***;C0;Chinesisch, regulärer Beginn in der Einführungsphase;0;2;3;5;2017-02-07 10:36:47
GY;;***;C0;Chinesisch, regulärer Beginn in der Einführungsphase;0;1;3;5;2016-02-22 15:51:24
GY;;***;C0;Chinesisch, regulärer Beginn in der Einführungsphase;0;2;3;5;2016-02-22 15:51:26
PS;;***;C0;Chinesisch, regulärer Beginn in der Einführungsphase;0;1;3;5;2016-02-22 15:59:55
PS;;***;C0;Chinesisch, regulärer Beginn in der Einführungsphase;0;2;3;5;2016-02-22 15:59:58
SG;;***;C0;Chinesisch, regulärer Beginn in der Einführungsphase;0;1;3;1;2016-02-22 13:32:27
SG;;***;C0;Chinesisch, regulärer Beginn in der Einführungsphase;0;2;3;1;2016-02-22 13:32:28
GE;;***;C5;Chinesisch, regulärer Beginn in Jahrgang 5;0;1;3;1;2016-02-22 15:01:31
GE;;***;C5;Chinesisch, regulärer Beginn in Jahrgang 5;0;2;3;1;2016-02-22 15:01:32
GM;;***;C5;Chinesisch, regulärer Beginn in Jahrgang 5;0;1;3;1;2016-02-22 15:47:00
GM;;***;C5;Chinesisch, regulärer Beginn in Jahrgang 5;0;2;3;1;2016-02-22 15:47:01
GY;;***;C5;Chinesisch, regulärer Beginn in Jahrgang 5;;1;3;1;2016-02-22 15:51:14
GY;;***;C5;Chinesisch, regulärer Beginn in Jahrgang 5;0;2;3;1;2016-02-22 15:51:15
PS;;***;C5;Chinesisch, regulärer Beginn in Jahrgang 5;0;1;3;1;2016-02-22 15:59:49
PS;;***;C5;Chinesisch, regulärer Beginn in Jahrgang 5;0;2;3;1;2016-02-22 15:59:50
SG;;***;C5;Chinesisch, regulärer Beginn in Jahrgang 5;;1;3;2;2016-02-22 13:32:29
SG;;***;C5;Chinesisch, regulärer Beginn in Jahrgang 5;0;2;3;2;2016-02-22 13:32:31
SK;;***;C5;Chinesisch, regulärer Beginn in Jahrgang 5;0;1;3;1;2016-02-22 13:15:24
SK;;***;C5;Chinesisch, regulärer Beginn in Jahrgang 5;0;2;3;1;2016-02-22 13:16:15
GE;;***;C6;Chinesisch, regulärer Beginn in Jahrgang 6;0;1;3;2;2016-02-22 15:01:33
GE;;***;C6;Chinesisch, regulärer Beginn in Jahrgang 6;0;2;3;2;2016-02-22 15:01:34
GM;;***;C6;Chinesisch, regulärer Beginn in Jahrgang 6;0;1;3;2;2016-02-22 15:47:03
GM;;***;C6;Chinesisch, regulärer Beginn in Jahrgang 6;0;2;3;2;2016-02-22 15:47:04
GY;;***;C6;Chinesisch, regulärer Beginn in Jahrgang 6;0;1;3;2;2016-02-22 15:51:16
GY;;***;C6;Chinesisch, regulärer Beginn in Jahrgang 6;0;2;3;2;2016-02-22 15:51:17
PS;;***;C6;Chinesisch, regulärer Beginn in Jahrgang 6;0;1;3;2;2016-02-22 15:59:51
PS;;***;C6;Chinesisch, regulärer Beginn in Jahrgang 6;0;2;3;3;2016-02-22 15:59:51
SG;;***;C6;Chinesisch, regulärer Beginn in Jahrgang 6;0;1;3;3;2016-02-22 13:32:32
SG;;***;C6;Chinesisch, regulärer Beginn in Jahrgang 6;0;2;3;3;2016-02-22 13:32:33
SK;;***;C6;Chinesisch, regulärer Beginn in Jahrgang 6;0;1;3;2;2016-02-22 13:16:16
SK;;***;C6;Chinesisch, regulärer Beginn in Jahrgang 6;0;2;3;2;2016-02-22 13:16:17
GE;;***;C7;Chinesisch, regulärer Beginn in Jahrgang 7;0;1;3;3;2020-08-13 10:26:22
GE;;***;C7;Chinesisch, regulärer Beginn in Jahrgang 7;0;2;3;3;2020-08-13 10:26:21
GM;;***;C7;Chinesisch, regulärer Beginn in Jahrgang 7;0;1;3;3;2016-02-22 15:47:06
GM;;***;C7;Chinesisch, regulärer Beginn in Jahrgang 7;0;2;3;3;2016-02-22 15:47:08
GY;;***;C7;Chinesisch, regulärer Beginn in Jahrgang 7;0;1;3;3;2016-02-22 15:51:18
GY;;***;C7;Chinesisch, regulärer Beginn in Jahrgang 7;0;2;3;3;2016-02-22 15:51:19
SG;;***;C7;Chinesisch, regulärer Beginn in Jahrgang 7;0;1;3;4;2020-08-13 09:17:59
SG;;***;C7;Chinesisch, regulärer Beginn in Jahrgang 7;0;2;3;4;2020-08-13 09:17:58
SK;;***;C7;Chinesisch, regulärer Beginn in Jahrgang 7;0;1;3;3;2016-02-22 13:16:18
SK;;***;C7;Chinesisch, regulärer Beginn in Jahrgang 7;0;2;3;3;2016-02-22 13:16:21
GE;;***;C8;Chinesisch, regulärer Beginn in Jahrgang 8;0;1;3;4;2020-08-13 10:26:30
GE;;***;C8;Chinesisch, regulärer Beginn in Jahrgang 8;0;2;3;4;2020-08-13 10:26:23
GM;;***;C8;Chinesisch, regulärer Beginn in Jahrgang 8;0;1;3;4;2016-02-22 15:47:09
GM;;***;C8;Chinesisch, regulärer Beginn in Jahrgang 8;0;2;3;4;2016-02-22 15:47:11
GY;;***;C8;Chinesisch, regulärer Beginn in Jahrgang 8;;1;3;4;2016-02-22 15:51:20
GY;;***;C8;Chinesisch, regulärer Beginn in Jahrgang 8;0;2;3;4;2016-02-22 15:51:22
PS;;***;C8;Chinesisch, regulärer Beginn in Jahrgang 8;0;1;3;4;2016-02-22 15:59:52
PS;;***;C8;Chinesisch, regulärer Beginn in Jahrgang 8;0;2;3;5;2016-02-22 15:59:53
SG;;***;C8;Chinesisch, regulärer Beginn in Jahrgang 8;0;1;3;5;2020-08-13 09:18:02
SG;;***;C8;Chinesisch, regulärer Beginn in Jahrgang 8;0;2;3;5;2020-08-13 09:18:00
SK;;***;C8;Chinesisch, regulärer Beginn in Jahrgang 8;0;1;3;4;2016-02-22 13:16:23
SK;;***;C8;Chinesisch, regulärer Beginn in Jahrgang 8;0;2;3;4;2016-02-22 13:16:27
BK;;***;CH;Chemie;-1;1;3;0;
GE;;***;CH;Chemie;;1;3;7;2020-08-13 10:26:38
GM;;***;CH;Chemie;0;1;3;7;2017-02-07 10:40:14
GY;;***;CH;Chemie;;1;3;7;2016-02-22 15:51:28
H;;***;CH;Chemie;0;1;3;1;2016-02-22 15:56:58
PS;;***;CH;Chemie;0;1;3;7;2016-02-22 16:00:01
R;;***;CH;Chemie;;1;3;1;2016-02-22 16:07:11
S;;***;CH;Chemie;0;1;3;1;2016-02-22 14:17:42
SB;;***;CH;Chemie;;1;3;0;
SG;;***;CH;Chemie;;1;3;6;2016-02-22 13:32:48
SK;;***;CH;Chemie;0;1;3;6;2016-02-22 13:16:33
SR;;***;CH;Chemie;;1;3;1;2016-02-22 13:12:00
V;;***;CH;Chemie;;1;3;1;2016-02-22 13:10:21
WB;;***;CH;Chemie;0;1;3;2;2016-02-22 13:09:28
G;;***;CM;Unterricht in der Herkunftssprache - Kroatisch;;1;3;1;2016-02-22 14:59:21
GE;;***;CM;Unterricht in der Herkunftssprache - Kroatisch;;1;3;8;2020-08-13 10:26:42
GM;;***;CM;Unterricht in der Herkunftssprache - Kroatisch;0;1;3;8;2017-02-07 10:40:16
GY;;***;CM;Unterricht in der Herkunftssprache - Kroatisch;;1;3;8;2016-02-22 15:51:29
H;;***;CM;Unterricht in der Herkunftssprache - Kroatisch;;1;3;2;2016-02-22 15:56:59
PS;;***;CM;Unterricht in der Herkunftssprache - Kroatisch;0;1;3;8;2016-02-22 16:00:02
R;;***;CM;Unterricht in der Herkunftssprache - Kroatisch;;1;3;2;2016-02-22 16:07:12
S;;***;CM;Unterricht in der Herkunftssprache - Kroatisch;;1;3;2;2016-02-22 14:17:53
SG;;***;CM;Unterricht in der Herkunftssprache - Kroatisch;;1;3;7;2016-02-22 13:32:51
SK;;***;CM;Unterricht in der Herkunftssprache - Kroatisch;0;1;3;7;2016-02-22 13:16:36
SR;;***;CM;Unterricht in der Herkunftssprache - Kroatisch;;1;3;2;2016-02-22 13:12:01
V;;***;CM;Unterricht in der Herkunftssprache - Kroatisch;;1;3;2;2016-02-22 13:10:22
GE;;***;CQ;Chinesisch, außerhalb des regulären Fachunterrichts;0;1;3;6;2020-08-13 10:26:37
GM;;***;CQ;Chinesisch, außerhalb des regulären Fachunterrichts;0;1;3;6;2017-02-07 10:40:12
GY;;***;CQ;Chinesisch, außerhalb des regulären Fachunterrichts;0;1;3;6;2016-02-22 15:51:28
PS;;***;CQ;Chinesisch, außerhalb des regulären Fachunterrichts;0;1;3;6;2016-02-22 16:00:00
SG;;***;CQ;Chinesisch, außerhalb des regulären Fachunterrichts;0;1;3;5;2016-02-22 13:32:46
SK;;***;CQ;Chinesisch, außerhalb des regulären Fachunterrichts;0;1;3;5;2016-02-22 13:16:30
BK;;***;D;Deutsch;-1;1;4;0;
G;;***;D;Deutsch;0;1;4;1;2016-02-22 14:59:22
GE;;***;D;Deutsch;;1;4;1;2016-02-22 15:01:51
GM;;***;D;Deutsch;0;1;4;1;2016-02-22 15:47:18
GY;;***;D;Deutsch;;1;4;1;2016-02-22 15:51:32
H;;***;D;Deutsch;;1;4;1;2016-02-22 15:57:00
PS;;***;D;Deutsch;0;1;4;1;2016-02-22 16:00:05
R;;***;D;Deutsch;;1;4;1;2016-02-22 16:07:14
S;;***;D;Deutsch;0;1;4;1;2017-04-11 15:43:15
SB;;***;D;Deutsch;;1;4;0;
SG;;***;D;Deutsch;;1;4;1;2016-02-22 13:32:56
SK;;***;D;Deutsch;0;1;4;1;2016-02-22 13:15:47
SR;;***;D;Deutsch;;1;4;1;2016-02-22 13:12:04
V;;***;D;Deutsch;;1;4;1;2016-02-22 13:10:25
WB;;***;D;Deutsch;0;1;4;1;2016-02-22 13:09:24
BK;;***;DB;Datenbanken;0;1;4;0;2020-06-03 11:41:00
SB;;***;DB;Datenbanken;0;1;4;0;2020-06-03 11:46:37
GE;;***;DH;Herkunftssprache anstelle einer Pflichtfremdsprache - Rumänisch;0;1;4;2;2018-04-04 16:03:17
GM;;***;DH;Herkunftssprache anstelle einer Pflichtfremdsprache - Rumänisch;0;1;4;2;2018-04-04 16:02:43
GY;;***;DH;Herkunftssprache anstelle einer Pflichtfremdsprache - Rumänisch;0;1;4;2;2018-04-04 16:39:38
H;;***;DH;Herkunftssprache anstelle einer Pflichtfremdsprache - Rumänisch;0;1;4;2;2018-04-04 17:10:50
PS;;***;DH;Herkunftssprache anstelle einer Pflichtfremdsprache - Rumänisch;0;1;4;2;2018-04-05 09:55:50
R;;***;DH;Herkunftssprache anstelle einer Pflichtfremdsprache - Rumänisch;0;1;4;2;2018-04-05 09:32:54
S;;***;DH;Herkunftssprache anstelle einer Pflichtfremdsprache - Rumänisch;0;1;4;5;2018-04-06 16:16:38
SG;;***;DH;Herkunftssprache anstelle einer Pflichtfremdsprache - Rumänisch;0;1;4;2;2018-04-05 11:25:56
SK;;***;DH;Herkunftssprache anstelle einer Pflichtfremdsprache - Rumänisch;0;1;4;2;2018-04-05 10:14:34
SR;;***;DH;Herkunftssprache anstelle einer Pflichtfremdsprache - Rumänisch;0;1;4;2;2018-04-05 11:45:45
BK;;***;DM;Didaktik u. Methodik der soz.päd. Praxis mit Übungen;-1;1;4;0;
SB;;***;DM;Didaktik u. Methodik der soz.päd. Praxis mit Übungen;;1;4;0;
GE;;***;DS;Darstellen und Gestalten;;1;4;3;2018-04-04 16:03:40
GM;;***;DS;Darstellen und Gestalten;0;1;4;3;2018-04-04 16:02:51
GY;;***;DS;Darstellen und Gestalten;0;1;4;3;2018-05-14 10:52:50
PS;;***;DS;Darstellen und Gestalten;0;1;4;3;2018-04-05 09:56:26
SK;;***;DS;Darstellen und Gestalten;0;1;4;3;2018-04-05 10:14:55
BK;;***;DV;Datenverarbeitung;0;1;4;0;
SB;;***;DV;Datenverarbeitung;0;1;4;0;
BK;;***;E;Englisch;-1;1;5;0;
FW;;***;E;Englisch;0;1;5;1;2016-02-22 14:59:02
G;;***;E;Englisch;0;1;5;1;2016-02-22 14:59:24
GE;;***;E;Englisch;0;1;5;1;2016-02-22 15:01:54
GM;;***;E;Englisch;0;1;5;1;2016-02-22 15:47:21
GY;;***;E;Englisch;0;1;5;1;2016-02-22 15:51:33
H;;***;E;Englisch;;1;5;1;2016-02-22 15:57:01
PS;;***;E;Englisch;0;1;5;1;2016-02-22 16:00:07
R;;***;E;Englisch;;1;5;1;2016-02-22 16:07:15
S;;***;E;Englisch;0;1;5;1;2016-02-22 14:18:42
SB;;***;E;Englisch;;1;5;0;
SG;;***;E;Englisch;0;1;5;2;2016-02-22 13:33:00
SK;;***;E;Englisch;0;1;5;1;2016-02-22 13:15:50
SR;;***;E;Englisch;;1;5;1;2016-02-22 13:12:05
V;;***;E;Englisch;;1;5;1;2016-02-22 13:10:27
WB;;***;E;Englisch;0;1;5;1;2016-02-22 13:09:19
H;;***;EB;Erweitertes Bildungsangebot;;1;5;2;2016-02-22 15:57:02
R;;H;EB;Erweitertes Bildungsangebot;0;1;5;2;2016-02-22 16:07:16
SK;;***;EB;Erweitertes Bildungsangebot;0;1;5;2;2016-02-22 13:15:51
V;;***;EB;Erweitertes Bildungsangebot;0;1;5;2;2016-02-22 13:10:29
GE;;***;EH;Herkunftssprache anstelle einer Pflichtfremdsprache - Serbisch;;1;5;2;2016-02-22 15:01:55
GM;;***;EH;Herkunftssprache anstelle einer Pflichtfremdsprache - Serbisch;0;1;5;2;2016-02-22 15:47:21
GY;;***;EH;Herkunftssprache anstelle einer Pflichtfremdsprache - Serbisch;;1;5;2;2016-02-22 15:51:34
H;;R;EH;Herkunftssprache anstelle einer Pflichtfremdsprache - Serbisch;0;1;5;3;2016-02-22 15:57:11
PS;;***;EH;Herkunftssprache anstelle einer Pflichtfremdsprache - Serbisch;0;1;5;2;2016-02-22 16:00:07
R;;***;EH;Herkunftssprache anstelle einer Pflichtfremdsprache - Serbisch;0;1;5;3;2016-02-22 16:07:17
S;;***;EH;Herkunftssprache anstelle einer Pflichtfremdsprache - Serbisch;;1;5;2;2016-02-22 14:18:52
SG;;***;EH;Herkunftssprache anstelle einer Pflichtfremdsprache - Serbisch;;1;5;3;2016-02-22 13:33:01
SK;;***;EH;Herkunftssprache anstelle einer Pflichtfremdsprache - Serbisch;0;1;5;3;2016-02-22 13:15:52
SR;;***;EH;Herkunftssprache anstelle einer Pflichtfremdsprache - Serbisch;;1;5;2;2016-02-22 13:12:07
BK;;***;EK;Erdkunde/ Geographie;-1;1;5;0;2015-03-16 09:06:47
GE;;***;EK;Erdkunde/ Geographie;;1;5;3;2017-04-11 09:01:19
GM;;***;EK;Erdkunde/ Geographie;0;1;5;3;2017-04-11 09:01:21
GY;;***;EK;Erdkunde/ Geographie;;1;5;3;2017-04-11 09:01:22
H;;***;EK;Erdkunde/ Geographie;;1;5;4;2016-02-22 15:57:13
PS;;***;EK;Erdkunde/ Geographie;0;1;5;3;2017-04-11 09:01:24
R;;***;EK;Erdkunde/ Geographie;;1;5;4;2016-02-22 16:07:17
S;;***;EK;Erdkunde/ Geographie;0;1;5;3;2016-02-22 14:19:04
SB;;***;EK;Erdkunde/ Geographie;;1;5;0;
SG;;***;EK;Erdkunde/ Geographie;;1;5;4;2017-04-11 09:01:29
SK;;***;EK;Erdkunde/ Geographie;0;1;5;4;2016-02-22 13:15:54
